#lon	#trans
618	0.91293
619	0.91284
620	0.91275
621	0.91262
622	0.91258
623	0.91249
624	0.91235
625	0.91236
626	0.91229
627	0.91222
628	0.91215
629	0.9121
630	0.91206
631	0.91198
632	0.91199
633	0.91183
634	0.91185
635	0.9118
636	0.91161
637	0.91166
638	0.91158
639	0.91167
640	0.9114
641	0.91157
642	0.91149
643	0.9115
644	0.91133
645	0.91129
646	0.9113
647	0.91133
648	0.91124
649	0.91129
650	0.91122
651	0.91131
652	0.91112
653	0.91124
654	0.91111
655	0.91116
656	0.91104
657	0.91113
658	0.91114
659	0.91106
660	0.91107
661	0.91117
662	0.91106
663	0.91124
664	0.91104
665	0.91105
666	0.91109
667	0.91105
668	0.91117
669	0.91108
670	0.91091
671	0.91104
672	0.91093
673	0.91097
674	0.91124
675	0.91103
676	0.91102
677	0.91101
678	0.91105
679	0.91099
680	0.91101
681	0.91103
682	0.91106
683	0.91114
684	0.91101
685	0.91104
686	0.91101
687	0.911
688	0.9111
689	0.91104
690	0.91103
691	0.91094
692	0.9109
693	0.91087
694	0.91093
695	0.91072
696	0.91062
697	0.91067
698	0.91052
699	0.9106
700	0.91053
701	0.91057
702	0.91034
703	0.91018
704	0.91026
705	0.91017
706	0.9101
707	0.90998
708	0.9099
709	0.9098
710	0.90976
711	0.90971
712	0.90962
713	0.9095
714	0.90939
715	0.90934
716	0.90931
717	0.90913
718	0.90901
719	0.9089
720	0.90886
721	0.90868
722	0.90857
723	0.90839
724	0.90824
725	0.90827
726	0.90811
727	0.90804
728	0.90795
729	0.90781
730	0.90767
731	0.90754
732	0.9074
733	0.90725
734	0.90715
735	0.90703
736	0.90692
737	0.90686
738	0.90662
739	0.90657
740	0.90651
741	0.90633
742	0.90606
743	0.90604
744	0.90584
745	0.90571
746	0.90569
747	0.90555
748	0.9054
749	0.9052
750	0.90505
751	0.90497
752	0.90494
753	0.90462
754	0.90448
755	0.90453
756	0.90429
757	0.90414
758	0.90394
759	0.90388
760	0.90371
761	0.90355
762	0.90343
763	0.90315
764	0.90294
765	0.90294
766	0.90273
767	0.90261
768	0.90248
769	0.9023
770	0.90197
771	0.90194
772	0.90176
773	0.90184
774	0.90149
775	0.90136
776	0.90135
777	0.90106
778	0.90112
779	0.90091
780	0.9009
781	0.90067
782	0.90044
783	0.90041
784	0.90016
785	0.90025
786	0.90002
787	0.89981
788	0.89971
789	0.89971
790	0.89941
791	0.89942
792	0.89921
793	0.89896
794	0.89897
795	0.89868
796	0.89862
797	0.89852
798	0.89841
799	0.89823
800	0.89803
801	0.89798
802	0.89769
803	0.8978
804	0.8977
805	0.89751
806	0.89737
807	0.89731
808	0.89715
809	0.89713
810	0.89708
811	0.89702
812	0.89677
813	0.89665
814	0.8966
815	0.89654
816	0.89642
817	0.89629
818	0.89616
819	0.89614
820	0.89594
821	0.89588
822	0.89571
823	0.89567
824	0.89557
825	0.89549
826	0.89525
827	0.89527
828	0.89512
829	0.89503
830	0.89498
831	0.89485
832	0.89483
833	0.89471
834	0.89464
835	0.89464
836	0.89446
837	0.89435
838	0.89442
839	0.89422
840	0.89417
841	0.89406
842	0.89393
843	0.8939
844	0.8938
845	0.89378
846	0.89376
847	0.89354
848	0.89347
849	0.89341
850	0.89328
851	0.89348
852	0.8931
853	0.89311
854	0.89312
855	0.89291
856	0.89292
857	0.89289
858	0.89267
859	0.89272
860	0.89268
861	0.89252
862	0.89241
863	0.89241
864	0.89247
865	0.89233
866	0.89219
867	0.89226
868	0.89208
869	0.89215
870	0.89212
871	0.89196
872	0.89198
873	0.89181
874	0.89185
875	0.89175
876	0.89165
877	0.89144
878	0.89153
879	0.89134
880	0.89142
881	0.8912
882	0.89132
883	0.89109
884	0.89117
885	0.89094
886	0.89086
887	0.89085
888	0.8908
889	0.89077
890	0.8907
891	0.89058
892	0.89047
893	0.8904
894	0.89039
895	0.89052
896	0.89031
897	0.89023
898	0.89013
899	0.88978
900	0.88992
901	0.88991
902	0.88992
903	0.88982
904	0.88964
905	0.88969
906	0.88948
907	0.88964
908	0.88949
909	0.8894
910	0.88947
