epoch,learning_rate,loss,mape,root_mean_squared_error,val_loss,val_mape,val_root_mean_squared_error
0,0.0010000000474974513,178780.40625,48.69950485229492,422.8240966796875,20029.048828125,20.62225341796875,141.52301025390625
1,0.0010000000474974513,2717.59423828125,9.954830169677734,52.12722396850586,862.3724365234375,6.506762981414795,29.359413146972656
2,0.0010000000474974513,1552.9486083984375,8.058381080627441,39.40224075317383,456.63714599609375,4.097066879272461,21.3590145111084
3,0.0010000000474974513,1422.702880859375,7.738426685333252,37.7127685546875,3031.65673828125,7.931128978729248,55.056182861328125
4,0.0010000000474974513,1374.67822265625,7.609856128692627,37.069725036621094,3409.760498046875,7.623476505279541,58.38849639892578
5,0.0010000000474974513,1302.448974609375,7.4070000648498535,36.081390380859375,3498.307373046875,8.294677734375,59.14088821411133
6,0.0010000000474974513,1200.115478515625,7.203566074371338,34.63270568847656,1183.451171875,5.954080104827881,34.39081573486328
7,0.0010000000474974513,1147.6500244140625,7.078600883483887,33.865753173828125,468.124267578125,4.5691399574279785,21.617647171020508
8,0.0010000000474974513,1115.0350341796875,7.00014591217041,33.379356384277344,2868.300537109375,7.109740257263184,53.54800796508789
9,0.0010000000474974513,1072.16748046875,6.8784027099609375,32.72918701171875,1456.8638916015625,6.063714027404785,38.15547180175781
10,0.0010000000474974513,1070.569580078125,6.85366678237915,32.7026481628418,4586.08837890625,9.927698135375977,67.71174621582031
11,0.0010000000474974513,970.3800659179688,6.255820274353027,31.13060760498047,1178.791748046875,3.6145741939544678,34.31438064575195
12,0.0010000000474974513,798.9344482421875,5.183036804199219,28.241743087768555,1634.4075927734375,4.515445709228516,40.41096115112305
13,0.0010000000474974513,767.8963623046875,5.0270490646362305,27.68575096130371,4386.58740234375,7.002012729644775,66.22049713134766
14,0.0010000000474974513,759.1552734375,5.003856658935547,27.52604866027832,753.9085083007812,2.8083572387695312,27.429813385009766
15,0.0010000000474974513,754.7083740234375,4.99347448348999,27.443557739257812,100.68698120117188,1.4695825576782227,9.954080581665039
16,0.0010000000474974513,750.1807250976562,4.987588405609131,27.35941505432129,6145.599609375,7.6701812744140625,78.38311767578125
17,0.0010000000474974513,743.5621948242188,4.961259841918945,27.236595153808594,4117.392578125,6.206544876098633,64.1530990600586
18,0.0010000000474974513,739.4212646484375,4.9532928466796875,27.158897399902344,84.27977752685547,1.0709736347198486,9.078729629516602
19,0.0010000000474974513,737.6458740234375,4.94679069519043,27.124616622924805,482.9216613769531,2.219146728515625,21.931184768676758
20,0.0010000000474974513,733.5147705078125,4.9290666580200195,27.046764373779297,149.32154846191406,1.0409998893737793,12.136434555053711
21,0.0010000000474974513,731.2883911132812,4.923183917999268,27.004045486450195,490.8203125,2.2446794509887695,22.106700897216797
