epoch,loss,lr,mape,root_mean_squared_error,val_loss,val_mape,val_root_mean_squared_error
0,226.3395538330078,0.001,33.197383880615234,407.6808776855469,13.959061622619629,4.584837913513184,28.912681579589844
1,31.856063842773438,0.001,9.187705039978027,45.01570129394531,19.124950408935547,7.134891510009766,34.763938903808594
2,28.74746322631836,0.001,8.228963851928711,38.02183532714844,89.78831481933594,12.594266891479492,109.10850524902344
3,27.41204833984375,0.001,7.720562934875488,36.00066375732422,60.0544319152832,10.163095474243164,72.23424530029297
4,26.433948516845703,0.001,7.46968936920166,34.82253646850586,18.400415420532227,4.454830646514893,23.56886100769043
5,26.04693603515625,0.001,7.297567367553711,34.11674118041992,106.68279266357422,17.104080200195312,125.44679260253906
6,25.815765380859375,0.001,7.234586238861084,33.746944427490234,24.116348266601562,5.967794895172119,33.11604309082031
7,25.112585067749023,0.001,6.997247219085693,32.89216232299805,20.454866409301758,5.15934419631958,26.30100440979004
8,24.740341186523438,0.001,6.831761837005615,32.27020263671875,32.47242736816406,4.9944233894348145,41.84199905395508
9,24.167238235473633,0.001,6.686175346374512,31.365835189819336,70.2291030883789,13.148725509643555,151.38429260253906
10,24.03293800354004,0.001,6.564538478851318,31.07486915588379,23.76934814453125,5.867702484130859,31.191165924072266
11,23.251893997192383,0.001,6.31526517868042,30.011775970458984,18.45249366760254,3.4728074073791504,22.899322509765625
12,22.82900619506836,0.001,6.150059700012207,29.319305419921875,18.401611328125,2.942286729812622,21.764036178588867
13,22.463090896606445,0.001,5.97087287902832,28.696613311767578,28.018264770507812,4.14006233215332,33.13711929321289
14,22.300817489624023,0.001,5.872167587280273,28.44261932373047,7.1767377853393555,1.7897255420684814,8.542037963867188
15,22.229001998901367,0.001,5.809746265411377,28.355133056640625,11.709551811218262,2.140751361846924,14.002179145812988
16,21.991514205932617,0.001,5.815769195556641,28.149301528930664,10.194443702697754,2.60335111618042,11.446032524108887
17,21.87140655517578,0.001,5.788414001464844,27.975460052490234,5.763394355773926,1.1349396705627441,7.126711368560791
18,21.745824813842773,0.001,5.749203205108643,27.87615394592285,7.413949012756348,1.9080066680908203,8.944950103759766
19,21.702438354492188,0.001,5.738342761993408,27.835477828979492,9.306144714355469,1.8481591939926147,11.012627601623535
20,21.861555099487305,0.001,5.803917407989502,28.11737823486328,17.858551025390625,2.4611079692840576,23.18646240234375
21,21.86565399169922,0.001,5.778563976287842,28.08888816833496,5.426868915557861,1.2879846096038818,6.748524188995361
22,21.77791976928711,0.001,5.778003215789795,28.06256866455078,9.73149585723877,1.5508426427841187,11.72110652923584
23,21.60364532470703,0.001,5.705994129180908,27.810800552368164,5.608623027801514,1.1587727069854736,6.42717981338501
24,21.945301055908203,0.001,5.778860092163086,28.209125518798828,6.839467525482178,1.1697328090667725,8.532315254211426
25,21.538938522338867,0.001,5.720754623413086,27.826480865478516,14.31634521484375,2.16890811920166,22.799848556518555
26,21.55070686340332,0.001,5.704176425933838,27.815893173217773,13.371760368347168,2.860158920288086,14.868128776550293
27,21.618959426879883,0.001,5.757720470428467,27.889326095581055,8.740106582641602,2.6344521045684814,10.73426342010498
28,21.2508544921875,0.001,5.6571502685546875,27.429996490478516,9.578457832336426,2.2951412200927734,11.084014892578125
